tf,condition,reporterFC,replicate,logFC,p_adjusted,sig,ctrl_activity
CLOCK,mES_CH,-1.19042264843339,R2,-1.20436302065945,0.00111693801332066,Downregulated,0.570108471978772
CLOCK,mES_CH,-1.25779003207513,R3,-1.20436302065945,0.00111693801332066,Downregulated,0.570108471978772
CLOCK,mES_FOXA1_OE,-1.82848622501805,R3,-1.41604149221581,0.213085877604381,NS,0.450857081449765
CLOCK,mES_LIF,-0.790831309498254,R1,-0.399384429634678,0.31857278348172,NS,0.591794121123385
CLOCK,mES_LIF,-0.191320863476994,R2,-0.399384429634678,0.31857278348172,NS,0.591794121123385
CLOCK,mES_LIF,-0.0897328152957444,R3,-0.399384429634678,0.31857278348172,NS,0.591794121123385
CLOCK,mES_POU5F1_DEG,-1.04506913857441,R1,-0.511538466142,0.0891896047848227,NS,0.499240193092446
CLOCK,mES_POU5F1_DEG,-0.937044676470493,R2,-0.511538466142,0.0891896047848227,NS,0.499240193092446
CLOCK,mES_SOX2_DEG,0.59945893471112,R1,0.447373220594909,0.0928322498105826,NS,-0.027225468720264
CLOCK,mES_SOX2_DEG,0.584820176660826,R2,0.447373220594909,0.0928322498105826,NS,-0.027225468720264
CREB1,mES_CH,-0.24077651409114,R1,-0.066387078543894,0.908130000950612,NS,-2.17514331872415
CREB1,mES_CH,-0.183810807755324,R2,-0.066387078543894,0.908130000950612,NS,-2.17514331872415
CREB1,mES_CH,-0.0191046530526398,R3,-0.066387078543894,0.908130000950612,NS,-2.17514331872415
CREB1,mES_FOXA1_OE,-0.236225590669144,R3,1.0680333356336,0.213085877604381,NS,-1.84809664566383
CREB1,mES_LIF,-0.139165624611086,R1,0.563131689336171,0.0151140820198106,NS,-2.18102616672723
CREB1,mES_LIF,0.178125970461619,R2,0.563131689336171,0.0151140820198106,NS,-2.18102616672723
CREB1,mES_LIF,0.119856772883223,R3,0.563131689336171,0.0151140820198106,NS,-2.18102616672723
CREB1,mES_POU5F1_DEG,0.386575600649516,R1,0.521575756302145,0.161561530358856,NS,-2.75105387293912
CREB1,mES_POU5F1_DEG,0.773629433116255,R2,0.521575756302145,0.161561530358856,NS,-2.75105387293912
CREB1,mES_SOX2_DEG,0.311439812900327,R1,-0.526328824451998,0.00700113090421863,Downregulated,-2.00527581996216
CREB1,mES_SOX2_DEG,0.404568814316126,R2,-0.526328824451998,0.00700113090421863,Downregulated,-2.00527581996216
E2F1,mES_CH,0.494130922834836,R1,0.361757939141423,0.297047016807896,NS,0.485667810287877
E2F1,mES_CH,0.406846204454808,R2,0.361757939141423,0.297047016807896,NS,0.485667810287877
E2F1,mES_CH,0.1477924766383,R3,0.361757939141423,0.297047016807896,NS,0.485667810287877
E2F1,mES_FOXA1_OE,-1.51884288797744,R3,-1.03702556049333,0.086936499032718,NS,0.600359452928417
E2F1,mES_LIF,0.235862072043815,R1,0.176964677910692,0.682813233196246,NS,0.476332906853326
E2F1,mES_LIF,0.12810310566069,R2,0.176964677910692,0.682813233196246,NS,0.476332906853326
E2F1,mES_LIF,-0.00418610170915557,R3,0.176964677910692,0.682813233196246,NS,0.476332906853326
E2F1,mES_POU5F1_DEG,-1.4161978259664,R1,-1.24806400229095,1.10645406465621e-6,Downregulated,1.10438437524323
E2F1,mES_POU5F1_DEG,-1.87088487465301,R2,-1.24806400229095,1.10645406465621e-6,Downregulated,1.10438437524323
E2F1,mES_SOX2_DEG,-1.58056420341883,R1,-1.7313269042549,3.01574995380698e-10,Downregulated,0.407430806111485
E2F1,mES_SOX2_DEG,-1.21888179842684,R2,-1.7313269042549,3.01574995380698e-10,Downregulated,0.407430806111485
